"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires (NAF rév. 2, niveau groupe, poste 10.7)";"Codes"
"idBank";"010767643";""
"Dernière mise à jour";"05/03/2025 08:45";""
"Période";"";""
"2025-01";"106.06";"A"
"2024-12";"104.25";"A"
"2024-11";"103.71";"A"
"2024-10";"103.53";"A"
"2024-09";"105.0";"A"
"2024-08";"101.68";"A"
"2024-07";"106.51";"A"
"2024-06";"105.26";"A"
"2024-05";"104.1";"A"
"2024-04";"104.11";"A"
"2024-03";"103.99";"A"
"2024-02";"103.53";"A"
"2024-01";"102.85";"A"
"2023-12";"103.36";"A"
"2023-11";"103.16";"A"
"2023-10";"103.8";"A"
"2023-09";"102.73";"A"
"2023-08";"103.56";"A"
"2023-07";"102.69";"A"
"2023-06";"102.27";"A"
"2023-05";"102.29";"A"
"2023-04";"102.63";"A"
"2023-03";"104.17";"A"
"2023-02";"103.92";"A"
"2023-01";"103.42";"A"
"2022-12";"101.87";"A"
"2022-11";"103.48";"A"
"2022-10";"103.17";"A"
"2022-09";"101.52";"A"
"2022-08";"100.21";"A"
"2022-07";"101.55";"A"
"2022-06";"103.62";"A"
"2022-05";"99.52";"A"
"2022-04";"102.22";"A"
"2022-03";"102.35";"A"
"2022-02";"103.14";"A"
"2022-01";"102.2";"A"
"2021-12";"103.27";"A"
"2021-11";"103.84";"A"
"2021-10";"101.87";"A"
"2021-09";"100.23";"A"
"2021-08";"100.71";"A"
"2021-07";"102.92";"A"
"2021-06";"101.09";"A"
"2021-05";"99.54";"A"
"2021-04";"96.52";"A"
"2021-03";"95.94";"A"
"2021-02";"94.92";"A"
"2021-01";"99.16";"A"
"2020-12";"91.6";"A"
"2020-11";"92.33";"A"
"2020-10";"93.03";"A"
"2020-09";"96.57";"A"
"2020-08";"96.42";"A"
"2020-07";"93.52";"A"
"2020-06";"88.89";"A"
"2020-05";"82.69";"A"
"2020-04";"80.85";"A"
"2020-03";"95.29";"A"
"2020-02";"100.02";"A"
"2020-01";"99.08";"A"
"2019-12";"100.1";"A"
"2019-11";"99.11";"A"
"2019-10";"99.16";"A"
"2019-09";"100.44";"A"
"2019-08";"98.6";"A"
"2019-07";"98.44";"A"
"2019-06";"98.02";"A"
"2019-05";"99.75";"A"
"2019-04";"99.63";"A"
"2019-03";"98.18";"A"
"2019-02";"98.95";"A"
"2019-01";"98.98";"A"
"2018-12";"98.95";"A"
"2018-11";"97.72";"A"
"2018-10";"99.59";"A"
"2018-09";"98.61";"A"
"2018-08";"100.1";"A"
"2018-07";"98.76";"A"
"2018-06";"97.98";"A"
"2018-05";"98.74";"A"
"2018-04";"98.66";"A"
"2018-03";"100.24";"A"
"2018-02";"96.91";"A"
"2018-01";"96.98";"A"
"2017-12";"98.3";"A"
"2017-11";"97.06";"A"
"2017-10";"97.04";"A"
"2017-09";"100.14";"A"
"2017-08";"101.44";"A"
"2017-07";"100.37";"A"
"2017-06";"98.97";"A"
"2017-05";"102.01";"A"
"2017-04";"97.92";"A"
"2017-03";"100.86";"A"
"2017-02";"100.34";"A"
"2017-01";"97.1";"A"
"2016-12";"98.44";"A"
"2016-11";"100.63";"A"
"2016-10";"98.7";"A"
"2016-09";"98.47";"A"
"2016-08";"96.06";"A"
"2016-07";"95.72";"A"
"2016-06";"96.22";"A"
"2016-05";"96.37";"A"
"2016-04";"97.16";"A"
"2016-03";"97.46";"A"
"2016-02";"96.04";"A"
"2016-01";"95.63";"A"
"2015-12";"96.21";"A"
"2015-11";"96.31";"A"
"2015-10";"98.66";"A"
"2015-09";"96.09";"A"
"2015-08";"94.22";"A"
"2015-07";"93.67";"A"
"2015-06";"98.21";"A"
"2015-05";"95.12";"A"
"2015-04";"95.58";"A"
"2015-03";"94.56";"A"
"2015-02";"94.17";"A"
"2015-01";"96.04";"A"
"2014-12";"92.29";"A"
"2014-11";"89.31";"A"
"2014-10";"90.69";"A"
"2014-09";"92.85";"A"
"2014-08";"93.84";"A"
"2014-07";"92.95";"A"
"2014-06";"93.9";"A"
"2014-05";"89.68";"A"
"2014-04";"95.56";"A"
"2014-03";"91.27";"A"
"2014-02";"91.03";"A"
"2014-01";"87.95";"A"
"2013-12";"93.3";"A"
"2013-11";"95.4";"A"
"2013-10";"86.94";"A"
"2013-09";"88.9";"A"
"2013-08";"90.7";"A"
"2013-07";"88.98";"A"
"2013-06";"90.97";"A"
"2013-05";"92.75";"A"
"2013-04";"90.15";"A"
"2013-03";"90.4";"A"
"2013-02";"89.61";"A"
"2013-01";"91.53";"A"
"2012-12";"97.07";"A"
"2012-11";"91.3";"A"
"2012-10";"87.49";"A"
"2012-09";"96.63";"A"
"2012-08";"90.41";"A"
"2012-07";"89.68";"A"
"2012-06";"97.26";"A"
"2012-05";"88.64";"A"
"2012-04";"89.08";"A"
"2012-03";"90.53";"A"
"2012-02";"93.04";"A"
"2012-01";"89.89";"A"
"2011-12";"88.81";"A"
"2011-11";"88.02";"A"
"2011-10";"95.42";"A"
"2011-09";"87.94";"A"
"2011-08";"88.45";"A"
"2011-07";"96.94";"A"
"2011-06";"88.92";"A"
"2011-05";"86.68";"A"
"2011-04";"92.25";"A"
"2011-03";"89.12";"A"
"2011-02";"89.89";"A"
"2011-01";"93.38";"A"
"2010-12";"90.97";"A"
"2010-11";"91.22";"A"
"2010-10";"92.97";"A"
"2010-09";"90.11";"A"
"2010-08";"91.52";"A"
"2010-07";"93.15";"A"
"2010-06";"89.04";"A"
"2010-05";"96.89";"A"
"2010-04";"89.47";"A"
"2010-03";"91.73";"A"
"2010-02";"94.54";"A"
"2010-01";"91.48";"A"
"2009-12";"91.13";"A"
"2009-11";"93.16";"A"
"2009-10";"91.02";"A"
"2009-09";"91.0";"A"
"2009-08";"92.01";"A"
"2009-07";"92.56";"A"
"2009-06";"92.21";"A"
"2009-05";"91.95";"A"
"2009-04";"91.43";"A"
"2009-03";"92.62";"A"
"2009-02";"89.98";"A"
"2009-01";"89.82";"A"
"2008-12";"94.4";"A"
"2008-11";"92.08";"A"
"2008-10";"90.98";"A"
"2008-09";"93.14";"A"
"2008-08";"91.5";"A"
"2008-07";"91.31";"A"
"2008-06";"92.27";"A"
"2008-05";"90.96";"A"
"2008-04";"92.36";"A"
"2008-03";"93.0";"A"
"2008-02";"92.0";"A"
"2008-01";"93.67";"A"
"2007-12";"91.82";"A"
"2007-11";"92.37";"A"
"2007-10";"92.24";"A"
"2007-09";"90.58";"A"
"2007-08";"96.63";"A"
"2007-07";"91.7";"A"
"2007-06";"93.04";"A"
"2007-05";"92.91";"A"
"2007-04";"92.22";"A"
"2007-03";"90.42";"A"
"2007-02";"92.6";"A"
"2007-01";"92.64";"A"
"2006-12";"92.06";"A"
"2006-11";"89.6";"A"
"2006-10";"91.94";"A"
"2006-09";"90.93";"A"
"2006-08";"91.34";"A"
"2006-07";"90.24";"A"
"2006-06";"90.51";"A"
"2006-05";"91.19";"A"
"2006-04";"91.37";"A"
"2006-03";"91.07";"A"
"2006-02";"91.46";"A"
"2006-01";"89.49";"A"
"2005-12";"92.53";"A"
"2005-11";"92.55";"A"
"2005-10";"90.61";"A"
"2005-09";"93.79";"A"
"2005-08";"93.03";"A"
"2005-07";"92.81";"A"
"2005-06";"91.48";"A"
"2005-05";"94.23";"A"
"2005-04";"89.98";"A"
"2005-03";"92.46";"A"
"2005-02";"91.54";"A"
"2005-01";"93.68";"A"
"2004-12";"91.03";"A"
"2004-11";"92.14";"A"
"2004-10";"92.79";"A"
"2004-09";"91.08";"A"
"2004-08";"91.09";"A"
"2004-07";"93.7";"A"
"2004-06";"92.49";"A"
"2004-05";"91.34";"A"
"2004-04";"92.96";"A"
"2004-03";"92.6";"A"
"2004-02";"91.7";"A"
"2004-01";"94.46";"A"
"2003-12";"91.8";"A"
"2003-11";"89.25";"A"
"2003-10";"90.12";"A"
"2003-09";"93.35";"A"
"2003-08";"88.67";"A"
"2003-07";"92.75";"A"
"2003-06";"91.98";"A"
"2003-05";"91.69";"A"
"2003-04";"92.88";"A"
"2003-03";"94.39";"A"
"2003-02";"96.18";"A"
"2003-01";"98.52";"A"
"2002-12";"98.21";"A"
"2002-11";"99.29";"A"
"2002-10";"97.16";"A"
"2002-09";"95.91";"A"
"2002-08";"100.48";"A"
"2002-07";"97.11";"A"
"2002-06";"97.52";"A"
"2002-05";"98.82";"A"
"2002-04";"100.16";"A"
"2002-03";"103.29";"A"
"2002-02";"98.37";"A"
"2002-01";"97.98";"A"
"2001-12";"100.21";"A"
"2001-11";"98.64";"A"
"2001-10";"99.63";"A"
"2001-09";"96.62";"A"
"2001-08";"99.2";"A"
"2001-07";"99.11";"A"
"2001-06";"100.89";"A"
"2001-05";"101.87";"A"
"2001-04";"100.37";"A"
"2001-03";"100.46";"A"
"2001-02";"99.38";"A"
"2001-01";"101.19";"A"
"2000-12";"102.57";"A"
"2000-11";"101.03";"A"
"2000-10";"100.5";"A"
"2000-09";"99.3";"A"
"2000-08";"101.19";"A"
"2000-07";"102.65";"A"
"2000-06";"99.86";"A"
"2000-05";"101.88";"A"
"2000-04";"99.61";"A"
"2000-03";"101.85";"A"
"2000-02";"100.27";"A"
"2000-01";"98.8";"A"
"1999-12";"96.1";"A"
"1999-11";"103.58";"A"
"1999-10";"112.23";"A"
"1999-09";"107.61";"A"
"1999-08";"103.04";"A"
"1999-07";"104.5";"A"
"1999-06";"105.57";"A"
"1999-05";"99.6";"A"
"1999-04";"100.4";"A"
"1999-03";"101.19";"A"
"1999-02";"102.12";"A"
"1999-01";"100.01";"A"
"1998-12";"97.7";"A"
"1998-11";"100.8";"A"
"1998-10";"103.78";"A"
"1998-09";"103.56";"A"
"1998-08";"104.07";"A"
"1998-07";"108.45";"A"
"1998-06";"103.67";"A"
"1998-05";"97.26";"A"
"1998-04";"104.13";"A"
"1998-03";"105.38";"A"
"1998-02";"100.94";"A"
"1998-01";"108.87";"A"
"1997-12";"108.61";"A"
"1997-11";"107.5";"A"
"1997-10";"108.49";"A"
"1997-09";"105.64";"A"
"1997-08";"107.87";"A"
"1997-07";"104.74";"A"
"1997-06";"103.82";"A"
"1997-05";"105.77";"A"
"1997-04";"108.11";"A"
"1997-03";"105.82";"A"
"1997-02";"108.78";"A"
"1997-01";"105.8";"A"
"1996-12";"102.9";"A"
"1996-11";"103.26";"A"
"1996-10";"99.8";"A"
"1996-09";"99.83";"A"
"1996-08";"97.55";"A"
"1996-07";"104.52";"A"
"1996-06";"99.69";"A"
"1996-05";"107.7";"A"
"1996-04";"102.98";"A"
"1996-03";"103.97";"A"
"1996-02";"105.76";"A"
"1996-01";"99.35";"A"
"1995-12";"98.88";"A"
"1995-11";"100.68";"A"
"1995-10";"101.06";"A"
"1995-09";"101.55";"A"
"1995-08";"100.2";"A"
"1995-07";"95.97";"A"
"1995-06";"98.8";"A"
"1995-05";"97.81";"A"
"1995-04";"100.11";"A"
"1995-03";"94.58";"A"
"1995-02";"95.43";"A"
"1995-01";"98.39";"A"
"1994-12";"90.34";"A"
"1994-11";"98.88";"A"
"1994-10";"99.63";"A"
"1994-09";"98.09";"A"
"1994-08";"106.99";"A"
"1994-07";"95.39";"A"
"1994-06";"98.29";"A"
"1994-05";"95.51";"A"
"1994-04";"91.25";"A"
"1994-03";"93.88";"A"
"1994-02";"96.71";"A"
"1994-01";"99.89";"A"
"1993-12";"106.93";"A"
"1993-11";"97.83";"A"
"1993-10";"97.99";"A"
"1993-09";"107.54";"A"
"1993-08";"100.02";"A"
"1993-07";"95.83";"A"
"1993-06";"94.33";"A"
"1993-05";"92.92";"A"
"1993-04";"92.54";"A"
"1993-03";"94.2";"A"
"1993-02";"92.39";"A"
"1993-01";"92.11";"A"
"1992-12";"101.71";"A"
"1992-11";"100.28";"A"
"1992-10";"100.96";"A"
"1992-09";"106.78";"A"
"1992-08";"98.52";"A"
"1992-07";"105.36";"A"
"1992-06";"107.77";"A"
"1992-05";"107.24";"A"
"1992-04";"104.35";"A"
"1992-03";"106.45";"A"
"1992-02";"103.29";"A"
"1992-01";"102.29";"A"
"1991-12";"90.08";"A"
"1991-11";"107.78";"A"
"1991-10";"97.11";"A"
"1991-09";"90.67";"A"
"1991-08";"101.17";"A"
"1991-07";"102.0";"A"
"1991-06";"103.59";"A"
"1991-05";"103.81";"A"
"1991-04";"108.85";"A"
"1991-03";"106.39";"A"
"1991-02";"109.62";"A"
"1991-01";"108.37";"A"
"1990-12";"102.31";"A"
"1990-11";"99.34";"A"
"1990-10";"103.36";"A"
"1990-09";"99.48";"A"
"1990-08";"100.87";"A"
"1990-07";"102.48";"A"
"1990-06";"100.97";"A"
"1990-05";"103.26";"A"
"1990-04";"102.36";"A"
"1990-03";"101.46";"A"
"1990-02";"100.83";"A"
"1990-01";"98.9";"A"
